Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Legal Bases,Are there any exceptions to the legal age of marriage?,Legal Bases,Is marriage under the legal age void or explicitly prohibited?,Legal Bases,Are there penalties for authorizing or entering into child or early marriage?,Legal Bases,Is there legislation that specifically addresses sexual harassment?,Legal Bases,Does the legislation establish clear criminal penalties for domestic violence?,Legal Bases,Is there a specialized court or procedure for cases of domestic violence?,Legal Bases,Can a woman obtain a national identity card in the same way as a married man? ,Legal Bases,Can a married woman legally confer citizenship to her children in the same way as a married man?,Legal Bases,Can an unmarried woman legally confer citizenship to her children in the same way as a married man?,Legal Bases,Can a married woman legally confer her citizenship to a non-national spouse in the same way as a married man?,Legal Bases,Do married couples jointly share legal responsibility for financially maintaining the family’s expenses?,Legal Bases,Does a woman’s testimony carry the same evidentiary weight in court as a man's in all types of cases?,Legal Bases,Is customary law a valid source of law under the constitution?,Legal Bases,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?",Legal Bases
2019,Finland,FIN,High income: OECD,High income,18,"Marriage Act, Sec. 4",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Act on Equality between Women and Men, Secs. 7 and 8d, Criminal Code, Ch. 20, Sec. 5a",No,No applicable provisions could be located,Yes,"Act on Restraining Orders, Sec. 6",Yes,"Law on ID Card of 2016, Art. 1; ID card application procedures",Yes,"Nationality Act, Art. 9",Yes,"Nationality Act, Art. 9",Yes,"Nationality Act (359/2003), Sec. 22",Yes,"Marriage Act (234/1929), Sec. 46",Yes,No restrictions could be located,No,Constitution of Finland,N/A,
2019,France,FRA,High income: OECD,High income,18,"Code Civil, Arts. 144 et 414",Yes,"Code Civil, Arts. 145 et 148-160",Yes,"Code Civil, Arts. 182, 184 et 187",Yes,"Code Civil, Arts. 156 et 157",Yes,"Code Pénal, Art. 222-33; Loi n° 2012-954 du 6 août 2012 relative au harcèlement sexuel",Yes,"Code Pénal, Arts. 132-80, 222-8 (4° ter) et 222-24 (11°)",Yes,"Code Civil, Arts. 515.9, 515.10 et 515.11(7)",Yes,"Décret No. 55-1397 du 22 Octobre 1955 Instituant la Carte Nationale d'Identité, Arts. 2 et 4; ID card application procedures",Yes,"Code Civil, Art. 18",Yes,"Code Civil, Art. 18",Yes,"Code Civil, Arts. 21-1 - 21-6",Yes,"Code Civil, Art. 214",Yes,No restrictions could be located,No,Constitution de la République Française,N/A,
2019,Gabon,GAB,Sub-Saharan Africa,Upper middle income,21,"Code Civil, Art. 205",Yes,"Code Civil, Arts. 203 et 205",No,No applicable provisions could be located,Yes,"Loi n°042/2018 du 05 juillet 2019 portant Code Pénal, Art. 410",Yes,"Loi No. 010/2016 du 05/09/2016 portant lutte contre le harcèlement en milieu professionnel; Loi n°042/2018 du 05 juillet 2019 portant Code Pénal, Art. 402(3)",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application procedures; Décret No. 111/PR/MISPID du 25 Septembre 2011,Yes,"Loi No. 37/98 du 2 Juillet 1999 Portant Code de la Nationalité Gabonaise, Art. 13",Yes,"Loi No. 37/98 du 2 Juillet 1999 Portant Code de la Nationalité Gabonaise, Art. 13",Yes,"Loi No 37/98 du 2 Juillet 1999 Portant Code de la Nationalité Gabonaise, Art. 22",Yes,"Code Civil, Art. 259",Yes,No restrictions could be located,No,Constitution de la République Gabonaise,N/A,
2019,"Gambia, The",GMB,Sub-Saharan Africa,Low income,18,"Children's Act, 2005, Secs. 2 and 24",No,No applicable provisions could be located,Yes,"Children's Act, 2005, Sec. 24",Yes,"Children's Act, 2005, Sec. 24",Yes,Criminal Code sec. 126(3),Yes,"Women's Act 2010, Secs. 6 and 74 ; Domestic Violence Act, 2013, Sec. 17(2)",Yes,"Domestic Violence Act, 2013, Secs. 26,28, 30 and 32",Yes,ID card application procedures; ID card application form,Yes,"Women's Act, 2010, Art. 39 ; Constitution of The Gambia, Art. 9",Yes,"Women's Act, 2010, Art. 39 ; Constitution of The Gambia, Art. 9",Yes,"Constitution of The Gambia, Art. 11",Yes,"Matrimonial Causes Act, art. 18",Yes,No restrictions could be located,Yes,"Constitution of The Gambia, Art. 7(e)",No,"The Constitution of the Republic of The Gambia, 1997 sec. 33"
2019,Georgia,GEO,Europe & Central Asia,Lower middle income,18,"Civil Code, Art. 1108(1)",No,No applicable provisions could be located,Yes,"Civil Code, Arts. 1140 and 1142",No,No applicable provisions could be located,Yes,"Labor Code, Art.2(4) ; Law on Gender Equality, Art. 6(1.B) ; Law on Elimination of All Forms of Discrimination, Art. 2(3.2) ",Yes,"Criminal Code, Arts. 11-1 and 126-1",Yes,"Law of Georgia on Elimination of Domestic Violence, Protection and Support of Victims of Domestic Violence, Arts. 10 and 12 ; Code of Administrative Procedure, chap. VII",Yes,"Law of Georgia on the Procedure for Registering the Citizens of Georgia and Aliens Residing in Georgia, for Issuing Identity (Residence) Cards and Passports of a Citizen of Georgia Art. 11(1) ; ID card application procedures",Yes,"Organic Law of Georgia on Georgian Citizenship, Art. 10",Yes,"Organic Law of Georgia on Georgian Citizenship, Art. 10",Yes,"Organic Law of Georgia on Georgian Citizenship, Art. 14(1)",Yes,"Civil Code of Georgia, Art. 1152 ;?Law of Georgia on Gender Equality, Art. 10",Yes,No restrictions could be located,No,Constitution of Georgia,N/A,
2019,Germany,DEU,High income: OECD,High income,18,"Civil Code, Secs. 2 and 1303(1)",Yes,"Civil Code, Sec. 1303(2)",Yes,Civil Code Sec. 1314(1),No,No applicable provisions could be located,Yes,"General Equal Treatment Act (AGG), Ch. II, Sec. 2.2",No,No applicable provisions could be located,Yes,"Gewaltschutzgesetz GewSchG (Act on Protection against Violence, 2001), Sec. 2; Greater Protection in Cases of Domestic Violence, Information on the Act on Protection against Violence, Federal Ministry of Justice and Consumer Protection",Yes,"Act on Identity Cards and Electronic Identification, Secs. 1 and 5; Attachments to the Ordinance on Identity Cards and Electronic Identification",Yes,"Nationality Act, Sec. 4",Yes,"Nationality Act, Sec. 4",Yes,"Nationality Act, Sec. 9",Yes,"Civil Code (BGB), Sec. 1360",Yes,No restrictions could be located,No,Basic Law for the Federal Republic of Germany,N/A,No applicable provisions could be located
2019,Ghana,GHA,Sub-Saharan Africa,Lower middle income,18,"The Children's Act, 1998, Sec. 14(2)",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"The Children's Act, 1998, Sec. 15",Yes,"Labour Act, 2003, Secs. 15(b), 63(3)(b), 64, and 175(b)  ",Yes," Domestic Violence Act, 2007, Sec. 3(2)",Yes,"Domestic Violence Act, 2007 Secs. 12-13  ",Yes,"National Identity Register Act, Arts. 28-3; National Identity Register Regulations, Art. 3 and Schedule",Yes,"Constitution of the Republic of Ghana, Art. 6(2); Citizenship Act of 2000, Art. 7",Yes,"Constitution of the Republic of Ghana, Art. 6(2); Citizenship Act of 2000, Art. 7",No,"Constitution of Ghana, Art. 7(1), (5) and (6)",Yes,"Children's Act 1998, art. 6(3)",Yes,No restrictions could be located,Yes,"Constitution of the Republic of Ghana, Arts. 11(1)-(3) and 272",No,"Constitution of the Republic of Ghana, Art. 17(4)"
2019,Greece,GRC,High income: OECD,High income,18,"Civil Code, Art. 1350",Yes,"Civil Code, Art. 1350",Yes,"Civil Code, Arts. 128-130, 1372 and 1378",No,No applicable provisions could be located,Yes,"Criminal Code, Art. 337; Implementation of Equal Opportunities and Equal Treatment of Men and Women (L. 3896), Art. 2 (d) and 3 (2a)",Yes,"Law No. 3500/2006, Art. 6-9",Yes,"Law No. 3500/2006, Ch. V",Yes,Law 3021/19/53/25; ID card application procedures,Yes,"Law 3838/21, Art. 1",Yes,"Law 3838/21, Art. 1",Yes,"Law 3284/24, Art. 5(2)(a)",Yes,"Civil Code, Art. 1389",Yes,No restrictions could be located,No,Constitution of Greece,N/A,
2019,Grenada,GRD,Latin America & Caribbean,Upper middle income,18,"Marriage Act, Sec. 20(1)",Yes,"Marriage Act, Secs. 3(3) and 20(2)-(4)",Yes,"Marriage Act, Sec. 3(3)",Yes,"Criminal Code, Sec. 423;Marriage Act, Sec. 20(4) and 47",No,No applicable provisions could be located,Yes,"Domestic Violence Act, 2010, Sec. 21, 24 and 36",Yes,"Domestic Violence Act, 2010, Secs. 25-28",N/A,No applicable provisions could be located ,Yes,"Constitution of Grenada 1973, Arts. 96 and 97",Yes,"Constitution of Grenada 1973, Arts. 96 and 97",Yes,"Constitution of Grenada 1973, Art. 98; Citizenship Act, Ch. 54, Sec. 5(3)",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,Constitution of Grenada 1973,N/A,No applicable provisions could be located
2019,Guatemala,GTM,Latin America & Caribbean,Lower middle income,18,"Decreto Número 8-2015, Art. 1 (Código Civil, Art. 81)",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Código Penal, Art. 230",No,No applicable provisions could be located,Yes,"Ley contra el Femicidio y otras Formas de Violencia contra la Mujer, Cap. IV;Código Penal, Arts. 131, 174(5) y 483(2)",Yes,Acuerdo 30-2010 de la Corte Suprema de Justicia - Reglamento de Gestión para los Juzgados y Tribunales con competencia en delitos de Femicidio y otras formas de Violencia Contra la Mujer; Acuerdo 43-2012 de la Corte Suprema de Justicia,Yes,"Decreto Número 9-25 Ley del Registro Nacional de las Personas, Arts. 5 y 56; ID card application procedures",Yes,"Constitución Política de la República de Guatemala, Art. 144",Yes,"Constitución Política de la República de Guatemala, Art. 144",No,"Decreto No.1613 Ley de Nacionalidad y sus Reformas Decreto No. 86-96, Art. 43; Constitución Política de la República de Guatemala, Art. 146 ",Yes,"Código Civil, Arts. 110 y 111",Yes,No restrictions could be located,No,Constitución Política de la República de Guatemala,N/A,No applicable provisions could be located
2019,Guinea,GIN,Sub-Saharan Africa,Low income,21,"Code Civil, Art. 284; Code de L'Enfant Guinéen, Arts. 268 et 269",Yes,"Code Civil, Arts. 280 et 284; Code de lEnfant Guinéen, Arts. 268 et 269",Yes,"Code Civil, Arts. 305 et 308; Code Pénal, Art. 319",Yes,"Code Pénal, Arts. 319-320; Code de L'Enfant Guinéen, Art. 270",Yes,"Code Pénal, Art. 277",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Décret D/95/254/PRG/SGG, Arts. 1er-5; ID card application form",No,"Code Civil de la Republique de Guinée, Arts. 3-32 et 37",Yes,"Code Civil de la Republique de Guinée, Arts. 3-32 et 37",No,"Code Civil de la Republique de Guinée, Arts. 49-55",Yes,"Code Civil de la Republique de Guinée, Art. 329",Yes,No restrictions could be located,No,Constitution de la République de Guinée,N/A,No applicable provisions could be located
2019,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,18,"Civil Code, Arts. 130, 1612 and 1649; Law 5/76, Art. 1",Yes,"Civil Code, Arts. 1601(a) and 1612",Yes,"Civil Code, Arts. 1601(a) and 1631(a)",Yes,"Civil Code, Art. 1649",Yes,"Criminal Code, Art. 135",Yes,"Law No. 6/2014, Arts. 17-27",Yes,"Law No. 6/2014, Ch. VII",Yes,ID card application form Ministry of Justice Decree 1/26 of August 17,Yes,"Citizenship Law, Art. 5",Yes,"Citizenship Law, Art. 5",Yes,"Citizenship Law, Art. 8",Yes,"Civil Code, Arts. 1673 and 1677(2)",Yes,No restrictions could be located,No,Constitution of the Republic of Guinea-Bissau,N/A,No applicable provisions could be located
2019,Guyana,GUY,Latin America & Caribbean,Lower middle income,18,"Marriage Act, Sec. 31(2)",Yes,"Marriage Act, Sec. 31-33",Yes,"Marriage Act, Sec. 32(1)",Yes,"Marriage Act, Sec. 69",Yes,"Prevention of Discrimination Act, Sec. 8",No,No applicable provisions could be located,Yes,"Domestic Violence Act, Secs. 17-32",Yes,ID card application procedures ,Yes,"Constitution of the Co-operative Republic of Guyana, Arts. 43 and 44; Guyana Citizenship Act, Ch. 14:1, Art. 8(1)",Yes,"Constitution of the Co-operative Republic of Guyana, Arts. 43 and 44; Guyana Citizenship Act, Ch. 14:1, Art. 8(1)",Yes,"Constitution of the Co-operative Republic of Guyana, Art. 45",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,Constitution of the Co-operative Republic of Guyana,N/A,No applicable provisions could be located
2019,Haiti,HTI,Latin America & Caribbean,Low income,18,"Code Civil, Art. 139",Yes,"Code Civil, Arts. 133, 136 et 139",Yes,"Code Civil, Arts. 133, 168 et 170",Yes,"Code Civil, Art. 144; Code Penal, Art. 154 et 156",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Décret Relatif à la Carte d'Identification Nationale, 2005, Art. 4; Projet de Loi instituant la carte d'identification nationale unique, 2017, Arts. 6 et 12",Yes,"Constitution de la République d'Haïti de 1987, Art. 11",Yes,"Constitution de la République d'Haïti de 1987, Art. 11",No,"Décret du 6 Novembre 1984, Art. 3",Yes,"Décret du 8 Octobre 1982 Fixant un Nouveau Statut à la Femme Mariée, ARts. 3 et 4",Yes,No restrictions could be located,No,Constitution de la République d'Haïti de 1987,N/A,No applicable provisions could be located
2019,Honduras,HND,Latin America & Caribbean,Lower middle income,21,"Código de Família, Art. 16",Yes,"Código de Familia, Arts. 16 y 17",Yes,"Código de Família, Arts. 21 y 228",Yes,"Código Penal, Arts. 173-175",Yes,"Código Penal, Art. 147-A; Ley de Igualdad de Oportunidades para la Mujer, Art. 60",Yes,"Código Penal, Arts. 140, 141 y 179-A - 179-C",Yes,"Ley contra la Violencia Doméstica, Arts. 11-19",Yes,"Ley del Registro Nacional de las Personas, Art. 88; ID card application procedures",Yes,"Constitución de la República de Honduras, Art. 23",Yes,"Constitución de la República de Honduras, Art. 23",Yes,"Constitución de la República de Honduras, Art. 24(6)",Yes,"Código de Família, Arts. 7, 42 y 71",Yes,No restrictions could be located,No,Constitución de la República de Honduras,N/A,No applicable provisions could be located 
2019,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,21,"Marriage Ordinance, Sec. 14(1)(a)",Yes,"Marriage Ordinance, Sec. 14(1) and Schedule 3",Yes,"Marriage Ordinance, Sec. 27(2)(b)",Yes,"Marriage Ordinance, Secs. 29 and 30",Yes,"Sex Discrimination Ordinance, Secs. 2(8), 23 and 76(1)(c)",Yes,"Domestic and Cohabitation Relationships Violence Ordinance, Sec. 5(1B)",Yes,"Domestic and Cohabitation Relationships Violence Ordinance, Secs. 3-4 and 8",Yes,"Registration of Persons Ordinance, Ch. 177, Sec. 3; ID card application procedures",Yes,"Nationality Law of the People's Republic of China, Arts. 4 and 5",Yes,"Nationality Law of the People's Republic of China, Arts. 4 and 5",Yes,"Nationality Law of the People's Republic of China N. 379 of 1997 1/7/1997, Art. 7",Yes,No applicable provisions could be located,Yes,No restrictions could be located,Yes,"Basic Law, Art. 8",Yes,"Basic Law, Art. 8"
2019,Hungary,HUN,High income: OECD,Upper middle income,18,"Civil Code, Secs. 2:10 (1) and 4:9 (1)",Yes,"Civil Code, Secs. 4:9(2)-(4)",Yes,"Civil Code, Sec. 4:9(1); Act on Marriage, Family and Guardianship 2009, Secs. 7-13",Yes,"Criminal Code, Sec. 213(2)(b)",Yes,"Act CXXV of 2003 on Equal Treatment, Secs. 5(d) and 10(1)",Yes,"Criminal Code, Secs. 197(3)(b) and 212/A",Yes,"Act LXXII of 2009 on Restraining Orders Related to Violence Between Relatives, Chapter III, Secs. 12-17",Yes,"Government Decree 414/201 on Issuance of an ID Card, Arts. 15-22; ID card application procedures",Yes,"Act LV. of 1993 on Hungarian Citizenship, Art. 3",Yes,"Act LV. of 1993 on Hungarian Citizenship, Art. 3",Yes,"Act LV. of 1993 on Hungarian Citizenship, Art. 4(2)",Yes,Civil Code of Hungary Art. 4:3,Yes,No restrictions could be located,No,Fundamental Law of Hungary,N/A,
2019,Iceland,ISL,High income: OECD,High income,18,"Law No. 31/1993 on Marriage, Art. 7",Yes,"Law No. 31/1993 on Marriage, Art. 7",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Act on Equal Status and Equal Rights of Women and Men No. 10/2008, Arts. 22 and 24, Penal Code, Art. 199",Yes,"Law No. 23/2016 amending the Penal Code, Art. 4; Penal Code, Art. 70",Yes,"Law No. 85/2011 on Restraining Orders, Ch. IV",Yes,ID card application procedures; ID card application form,Yes,"Icelandic Nationality Act, Art. 1",Yes,"Icelandic Nationality Act, Art. 1",Yes,"Icelandic Nationality Act, Art. 8(2)",Yes,"Law in Respect of Marriage No. 31 of April 14th, 1993, Art. 2",Yes,No restrictions could be located,No,Constitution of the Republic of Iceland,N/A,
2019,India,IND,South Asia,Lower middle income,18,"The Prohibition of Child Marriage Act, Sec. 2(a,b); Hindu Marriage Act, Sec. 5(III)",No,No applicable provisions could be located    ,Yes,"The Prohibition of Child Marriage Act, 2006, Secs. 3 and 12-14",Yes,"The Prohibition of Child Marriage Act, 2006, Secs. 9-11    ",Yes,"The Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013; The Criminal Law (Amendment) Act, 2013, Sec. 7(354A)",Yes,"The Protection of Women from Domestic Violence Act 2005, Secs. 5(e), 31(3); Indian Penal Code, 1860, Sec. 498A ",Yes,"The Protection of Women from Domestic Violence Act, 2005, Ch. IV, Secs. 12-16, Secs. 27-28  ",N/A,"The Aadhar (Targetted delivery of financial and other subsidies, benefits and services) Act, 2016, Sec. 3(1)",Yes,"Citizenship Act, 1955, Arts. 3 and 4",Yes,"Citizenship Act, 1955, Arts. 3 and 4",Yes,"Citizenship Act, 1955, Art. 5(1)(c)",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,"Constitution of India, Art. 13(3)(a)",N/A,
2019,Indonesia,IDN,East Asia & Pacific,Lower middle income,21,"Indonesian Marriage Law No.1 of 1974, Art. 6(2)",Yes,"Indonesian Marriage Law No.1 of 1974, Arts. 6 and 7 ",Yes,"Indonesian Marriage Law No.1 of 1974, Arts. 16(1), 20 and 22",Yes,"Indonesian Marriage Law No.1 of 1974, Art. 61(3)",No,No applicable provisions could be located,Yes,"Law No. 23/2004 Regarding Elimination of Violence in Household, Ch. VIII",Yes,"Law No. 23/2004 Regarding Elimination of Violence in Household, Arts. 30 and 37",Yes,"Administration of Population Law, Arts. 2 and 63",Yes,"Law No. 12/26 on Citizenship, Art. 4(2)-(4)",Yes,"Law No. 12/26 on Citizenship, Art. 4(2)-(4)",Yes,"Law No. 12/26 on Citizenship, Art. 19",No,"Marriage Law No. 1 of 1974, Art. 34 (1)",Yes,No restrictions could be located,Yes,"Constitution of the Republic of Indonesia, Art. 18B(2) ",Yes,"Constitution of the Republic of Indonesia, Art. 18B(2)"
2019,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,..,"Civil Code, Arts. 1041 and 1043",Yes,"Civil Code, Art. 1041",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Criminal Code, Book V, Art. 122",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"ID card application procedures Executive Bylaw on the Law of Allotting Identification Numbers and Postal Codes to all Iranian Nationals, Art. 2",No,"Civil Code, Art. 976(5)",No,"Civil Code, Art. 976(5)",No,"Civil Code, Arts. 976(6), 980 and 1060",No,"Civil Code, Arts. 1106 and 1107",No,"Islamic Penal Code, Art. 199; Code of Civil Procedure, Arts. 229 and 230",No,Constitution of the Islamic Republic of Iran,N/A,
2019,Iraq,IRQ,Middle East & North Africa,Upper middle income,18,"Personal Status Law, Art. 7(1)",Yes,"Personal Status Law, Art. 8",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Criminal Code, Arts. 400, 402; Labor Law, Arts. 10-11",No,No applicable provisions could be located,Yes,"Official Gazette of Iraq, 4368",Yes,"Civil Status Law No. 32 of 1974, Arts. 44(1) and 45; National ID Law No. 3 of 216, Ch. IX",No,"Iraqi Nationality Law, No. 26 of 2006, Arts. 3 and 4",No,"Iraqi Nationality Law, No. 26 of 2006, Arts. 3 and 4",No,"Iraqi Nationality Law No. 26 of 2006, Arts. 7 and 11",No,"Personal Status Law No. 188 of 1959, Art. 23",No,"Personal Status Law, Art. 1(2)",No,Iraqi Constitution,N/A,
2019,Ireland,IRL,High income: OECD,High income,18,"Family Law Act (1995), Sec. 31(1)(a)(i)",Yes,"Family Law Act (1995), Sec. 33",Yes,"Family Law Act (1995), Sec. 31(1)(a)(i)",Yes,"Family Law Act (1995), Sec. 31(4)",Yes,"Employment Equality Act 1998 (as amended), Sec. 14A, Equal Status Act 2000 (as
amended), Sec. 11",No,No applicable provisions could be located,Yes,"Domestic Violence Act 2018, Pt. 2",N/A,No applicable provisions could be located ,Yes,"Irish Nationality and Citizenship Act, 1956, Art. 7",Yes,"Irish Nationality and Citizenship Act, 1956, Art. 7",Yes,"Irish Nationality and Citizenship Act, 1956, Art. 8",Yes,"Family Law (Maintenance of Spouses and Children) Act, 1976, Art. 5",Yes,No restrictions could be located,No,Constitution of Ireland,N/A,
2019,Israel,ISR,High income: OECD,High income,18,"Age of Marriage Law, Art. 1; Legal Capacity and Guardianship Act, Art. 3",Yes,"Age of Marriage Law, Art. 5",Yes,"Age of Marriage Law, Art. 3",Yes,"Age of Marriage Law, Arts. 2 and 3",Yes,"Prevention of Sexual Harassment Law, 5758-1998",Yes,"Penal Law, Sec. 382(b)",Yes,"Prevention of Family Violence Law, Secs. 2-4",Yes,ID card application form; ID card application procedures ,Yes,"Nationality Law, 5712-1952, Art. 4",Yes,"Nationality Law, 5712-1952, Art. 4",Yes,"Nationality Law, 5712-1952, Art. 7",Yes,"Family Law Amendment (Maintenance) 1959, Art. 2",Yes,No restrictions could be located,No,Basic Law: The Judiciary,N/A,
2019,Italy,ITA,High income: OECD,High income,18,"Civil Code, Arts. 2 and 84",Yes,"Civil Code, Art. 84",Yes,"Civil Code, Art. 117",Yes,"Civil Code, Art. 136",Yes,"Law 198/2006, Art. 26",Yes,"Law No. 119/2013, Arts. 1(2) and 1(3);Criminal Code, Arts. 572, 577, 609-ter(5-quater) and 612-bis",Yes,"Law 119/2013, Arts. 2 and 3; Code of Criminal Procedure, Art. 282-quater",Yes,"Legal Decree No. 7 of 13 May 2011, Art. 1; ID card application procedures",Yes,"Act No. 91 of 5 February 1992, Art. 1",Yes,"Act No. 91 of 5 February 1992, Art. 1",Yes,"Act No. 91 of 5 February 1992, Art. 5",Yes,"Civil Code, Art 143",Yes,No restrictions could be located,No,Constitution of the Italian Republic,N/A,
2019,Jamaica,JAM,Latin America & Caribbean,Upper middle income,18,"The Marriage Act, Sec. 24",Yes,"The Marriage Act, Secs. 3(2) and 24",Yes,"The Marriage Act, Sec. 3(2)",Yes,"The Marriage Act, Secs. 55 and 68",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"The Domestic Violence Act, Secs. 2, 4, 7, 8, 14",N/A,No applicable provisions could be located,Yes,"Constitution of Jamaica, Ch. II, Arts. 3(B)-3(C)",Yes,"Constitution of Jamaica, Ch. II, Arts. 3(B)-3(C)",Yes,"Constitution of Jamaica, Ch. II, Arts. 4 and 7",Yes,"Maintenance Act, Sect. 4",Yes,No applicable provisions could be located,No,Constitution of Jamaica,N/A,Constitution of Jamaica
2019,Japan,JPN,High income: OECD,High income,20,"Civil Code (Act No. 89 of April 1896, as amended), Arts. 4 and 737",Yes,"Civil Code, Arts. 731 and 737",Yes,"Civil Code, Arts. 744(1) and 745(2)",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Act on the Prevention of Spousal Violence and the Protection of Victims, Arts. 11 and 13-15",N/A,No applicable provisions could be located ,Yes,"Nationality Act (Law No.147 of 195), Art. 2",Yes,"Nationality Act (Law No.147 of 195), Art. 2",Yes,"Nationality Act (Law No.147 of 195), Art. 7",Yes,"Civil Code, Art. 760",Yes,No restrictions could be located,No,Constitution of Japan ,N/A,
2019,Jordan,JOR,Middle East & North Africa,Upper middle income,..,"Personal Status Code of 2010, Arts. 14 and 19",Yes,"Personal Status Law of 2010, Art. 10(b)",Yes,"Personal Status Law of 2010, Arts. 31(g) and 35",No,No applicable provisions could be located,Yes,"Penal Code, Arts. 305 and 306",No,No applicable provisions could be located,Yes,"Law on the Protection from Domestic Violence, Arts. 13-18",Yes,"Civil Status Law No. 9 of 2001, Art. 38; ID card application form",No,"Nationality Law No. 6 of 1954, Art. 3",No,"Nationality Law No. 6 of 1954, Art. 3",No,"Nationality Law No. 6 of 1954, Art. 8",No,"Personal Status Law No. 15 of 2019, Article 59",No,"Personal Status Law No. 15 of 2019 , Art. 127",No,Constitution of the Hashemite Kingdom of Jordan,N/A,
2019,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,18,"Marriage (Matrimony) and Family Code, Art. 10(1)",Yes,"Marriage (Matrimony) and Family Code, Art. 10(2)",Yes,"Marriage (Matrimony) and Family, Arts. 25 and 26",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law on Prevention of Domestic Violence, Arts. 20 and 23",Yes," Law on Identity Documents, Arts. 7 and 9; ID card application procedure",Yes,"Law on Citizenship of the Republic of Kazakhstan, Arts. 11 and 12",Yes,"Law on Citizenship of the Republic of Kazakhstan, Arts. 11 and 12",Yes,"Law on Citizenship of the Republic of Kazakhstan, Art. 16",Yes,"Code on Marriage and Family Art. 30 and 147 ; State guarantees of Equal Rights and Equal Opportunities of Men and Women, art. 11(2)",Yes,No restrictions could be located,No,Constitution of Kazakhstan,N/A,
2019,Kenya,KEN,Sub-Saharan Africa,Low income,18,"Marriage Act, 2014, Sec. 4",No,No applicable provisions could be located,Yes,"Marriage Act, 2014, Sec. 11(a)   ",Yes,"Protection Against Domestic Violence Act, Sec. 3(a); Children's Act, Sec.14; Marriage Act, 2014, Sec. 87",Yes,"Sexual Offences Act, 2006, Sec. 23; Employment Act, 2007, Sec. 6     ",No,No applicable provisions could be located,Yes,"Protection Against Domestic Violence Act, 2015, Secs. 8, 12 and 24-28 ",Yes,"Registration of Persons Act, Art. 5; ID card application form",Yes,"Constitution of Kenya, Art. 14(1); Kenya Citizenship and Immigration Act, 2011, Arts. 6 and 7",Yes,"Constitution of Kenya, Art. 14(1); Kenya Citizenship and Immigration Act, 2011, Arts. 6 and 7",Yes,"Constitution of Kenya, Art. 15(1); Kenya Citizenship and Immigration Act, Art. 11",Yes,"Constitution of Kenya, Arts. 45(3) and 53(1)(e)",Yes,No restrictions could be located,Yes,"Constitution of Kenya, Arts. 2 and 45(4)",Yes,"Constitution of Kenya, Art. 2(4) "
2019,Kiribati,KIR,East Asia & Pacific,Lower middle income,21,"Marriage Ordinance, Sec. 7",Yes,"Marriage (Amendment) Act 2002, Sec. 2; Marriage Ordinance (Cap. 54), Sec. 7",Yes,"Marriage Ordinance, Secs. 5(as amended) and 7(1); Marriage (Amendment) Act 2002, Sec. 2",Yes,"Marriage Ordinance, Secs. 12 and 28(c)",Yes,"Penal Code, Sec. 133(3)",Yes,"Family Peace Act 2014, Part 6",Yes,"Family Peace Act 2014, Part 7",Yes,"National Identity Registration Bill 2018, Sec. 16; 
ID Card Application Form",No,"Constitution of Kiribati, Sec. 25",Yes,"Constitution of Kiribati, Sec. 25",No,"Constitution of Kiribati, Sec. 26; Citizenship Act, Sec. 7",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,Constitution of Kiribati,N/A,
